track_id,track_name,artist_name,album_name,release_date,year,genre,subgenre,popularity,danceability,energy,valence,acousticness,instrumentalness,liveness,speechiness,tempo_bpm,loudness_db,duration_ms,key,mode,time_signature,explicit,streams,playlist_count
TRK000016,Soul Vibe 3564,R&B/Soul Artist 50,R&B/Soul Artist 50 Essentials,2012-06-15,2012,R&B/Soul,Soul,90,0.736,0.786,0.274,0.215,0.09,0.023,0.165,92.37,-7.99,267389,9,1,4,0,749739,9
TRK000017,Reggaeton Vibe 1447,Latin Artist 15,Latin Artist 15 Essentials,2009-03-30,2009,Latin,Reggaeton,100,0.759,0.788,0.663,0.113,0.087,0.228,0.04,97.51,-5.2,323963,7,1,4,0,800191,57
TRK000018,Contemporary Country Vibe 3730,Country Artist 32,Country Artist 32 Essentials,2012-12-04,2012,Country,Contemporary Country,87,0.403,0.548,0.468,0.265,0.088,0.265,0.268,111.34,-9.8,148597,3,1,4,0,513463,87
TRK000019,K-HipHop Vibe 927,K-Pop Artist 52,K-Pop Artist 52 Essentials,2009-12-05,2009,K-Pop,K-HipHop,100,0.885,0.787,0.296,0.192,0.258,0.149,0.144,106.68,-3.94,298493,7,0,4,0,3660725,42
TRK000020,Vocal Jazz Vibe 6820,Jazz Artist 36,Jazz Artist 36 Essentials,2024-12-10,2024,Jazz,Vocal Jazz,81,0.393,0.383,0.471,0.761,0.212,0.03,0.206,95.19,-6.57,188168,2,1,4,0,541755,27
TRK000021,K-HipHop Vibe 9087,K-Pop Artist 20,K-Pop Artist 20 Essentials,2002-10-01,2002,K-Pop,K-HipHop,96,0.667,0.819,0.637,0.502,0.115,0.196,0.066,121.25,-6.33,181289,10,1,5,0,628112,55
TRK000022,Trap Vibe 3395,Hip-Hop/Rap Artist 2,Hip-Hop/Rap Artist 2 Essentials,2001-10-20,2001,Hip-Hop/Rap,Trap,100,0.798,0.508,0.754,0.259,0.057,0.13,0.428,96.99,-11.39,260477,2,0,4,1,3511220,182
TRK000023,Alt Country Vibe 868,Country Artist 19,Country Artist 19 Essentials,2000-06-17,2000,Country,Alt Country,89,0.547,0.739,0.62,0.112,0.037,0.124,0.063,104.25,-9.51,196099,2,1,4,0,3041782,17
TRK000024,K-R&B Vibe 2325,K-Pop Artist 89,K-Pop Artist 89 Essentials,2001-10-15,2001,K-Pop,K-R&B,100,0.774,0.881,0.626,0.046,0.219,0.076,0.182,134.46,-4.69,177459,5,1,5,0,6565594,85
TRK000025,Nu Jazz Vibe 4306,Jazz Artist 100,Jazz Artist 100 Essentials,2022-08-13,2022,Jazz,Nu Jazz,82,0.474,0.356,0.7,0.895,0.106,0.037,0.272,92.16,-10.12,185655,10,0,4,1,1667331,18
TRK000026,Vocal Jazz Vibe 473,Jazz Artist 62,Jazz Artist 62 Essentials,2022-03-01,2022,Jazz,Vocal Jazz,87,0.57,0.383,0.61,0.375,0.562,0.172,0.211,113.71,-8.06,331556,6,1,4,0,370064,37
TRK000027,K-Pop Vibe 2033,K-Pop Artist 57,K-Pop Artist 57 Essentials,2013-02-09,2013,K-Pop,K-Pop,100,0.712,0.706,0.602,0.552,0.049,0.061,0.043,122.95,-11.1,206182,3,0,5,0,1916918,49
TRK000028,House Vibe 3576,EDM Artist 73,EDM Artist 73 Essentials,2022-08-29,2022,EDM,House,100,0.934,0.676,0.488,0.614,0.268,0.147,0.164,141.17,-9.3,308946,5,0,4,1,1153541,31
TRK000029,Dubstep Vibe 5458,EDM Artist 10,EDM Artist 10 Essentials,2021-12-10,2021,EDM,Dubstep,97,0.741,0.716,0.784,0.628,0.696,0.121,0.018,136.46,-8.27,136097,1,1,4,0,856139,17
TRK000030,Classic Rock Vibe 9459,Rock Artist 45,Rock Artist 45 Essentials,2011-06-16,2011,Rock,Classic Rock,95,0.465,0.845,0.545,0.078,0.045,0.104,0.03,122.88,-5.3,195938,6,0,4,0,5429431,22
TRK000031,Contemporary Classical Vibe 5401,Classical Artist 63,Classical Artist 63 Essentials,2020-07-01,2020,Classical,Contemporary Classical,68,0.063,0.351,0.189,0.815,0.325,0.438,0.129,116.75,-9.06,163183,7,0,4,0,1500349,30
TRK000032,Country Pop Vibe 2486,Country Artist 14,Country Artist 14 Essentials,2012-07-21,2012,Country,Country Pop,88,0.588,0.461,0.351,0.25,0.082,0.127,0.184,109.54,-13.03,247534,7,1,3,0,249861,83
TRK000033,Salsa Pop Vibe 5851,Latin Artist 21,Latin Artist 21 Essentials,2005-01-27,2005,Latin,Salsa Pop,98,0.639,0.736,0.493,0.344,0.112,0.151,0.03,73.85,-14.19,260398,4,1,4,0,1497994,87
TRK000034,Smooth Jazz Vibe 7674,Jazz Artist 70,Jazz Artist 70 Essentials,2009-03-09,2009,Jazz,Smooth Jazz,83,0.473,0.35,0.656,0.5,0.249,0.134,0.137,112.81,-8.93,102412,3,1,4,0,2616233,37
TRK000035,Teen Pop Vibe 2738,Pop Artist 34,Pop Artist 34 Essentials,2016-11-16,2016,Pop,Teen Pop,100,0.807,0.881,0.558,0.317,0.052,0.266,0.074,112.24,-6.6,172348,4,0,4,1,2158399,60
TRK000036,Vocal Jazz Vibe 3359,Jazz Artist 69,Jazz Artist 69 Essentials,2002-02-11,2002,Jazz,Vocal Jazz,77,0.276,0.459,0.463,0.795,0.165,0.166,0.061,129.71,-12.47,231861,2,1,4,0,1490202,58
TRK000037,Nu Jazz Vibe 1291,Jazz Artist 98,Jazz Artist 98 Essentials,2023-09-21,2023,Jazz,Nu Jazz,89,0.464,0.44,0.613,0.623,0.395,0.127,0.211,102.37,-7.75,211475,5,0,4,0,1054914,59
TRK000038,Alternative Rock Vibe 2276,Rock Artist 64,Rock Artist 64 Essentials,2016-05-08,2016,Rock,Alternative Rock,96,0.521,0.816,0.518,0.316,0.191,0.233,0.456,,-9.44,362233,6,0,4,0,1772006,65
TRK000039,Salsa Pop Vibe 6365,Latin Artist 61,Latin Artist 61 Essentials,2018-08-12,2018,Latin,Salsa Pop,100,0.893,0.639,0.405,0.281,0.068,0.106,0.104,104.5,-9.17,119884,0,0,4,0,1056650,81
TRK000040,Contemporary R&B Vibe 7662,R&B/Soul Artist 93,R&B/Soul Artist 93 Essentials,2012-01-30,2012,R&B/Soul,Contemporary R&B,91,0.654,0.557,0.515,0.088,0.491,0.116,0.175,105.89,-6.13,278699,11,1,4,0,813375,35
TRK000041,Bachata Vibe 7153,Latin Artist 61,Latin Artist 61 Essentials,2024-10-31,2024,Latin,Bachata,100,0.69,0.785,0.848,0.114,0.185,0.038,0.152,116.41,-5.5,142150,1,0,4,0,1025057,38
TRK000042,Indie Rock Vibe 2738,Rock Artist 79,Rock Artist 79 Essentials,2018-03-26,2018,Rock,Indie Rock,100,0.556,0.762,0.68,0.081,0.117,0.156,0.111,132.25,-12.35,232314,3,1,4,0,3277883,33
TRK000043,Dance Pop Vibe 6074,Pop Artist 11,Pop Artist 11 Essentials,2016-04-18,2016,Pop,Dance Pop,100,0.601,0.631,0.663,0.104,0.219,0.202,0.134,110.17,-4.63,225179,10,1,4,1,1695221,277
TRK000044,Boom Bap Vibe 9816,Hip-Hop/Rap Artist 23,Hip-Hop/Rap Artist 23 Essentials,2016-06-11,2016,Hip-Hop/Rap,Boom Bap,100,0.96,0.509,0.246,0.153,0.06,0.192,0.299,104.93,-11.59,276455,11,0,4,0,3317001,157
TRK000045,K-R&B Vibe 2145,K-Pop Artist 93,K-Pop Artist 93 Essentials,2021-02-10,2021,K-Pop,K-R&B,100,0.772,0.963,0.661,0.213,0.088,0.141,0.183,133.38,-11.08,226563,5,0,4,0,5888387,38
TRK000046,K-HipHop Vibe 7754,K-Pop Artist 22,K-Pop Artist 22 Essentials,2018-10-07,2018,K-Pop,K-HipHop,100,0.881,0.499,0.588,0.324,0.142,0.143,0.284,123.41,-7.3,253440,6,0,4,0,6633088,113
TRK000047,House Vibe 7585,EDM Artist 19,EDM Artist 19 Essentials,2016-04-24,2016,EDM,House,95,0.887,0.655,0.368,0.275,0.42,0.22,0.383,119.69,-11.61,276861,2,1,4,0,3214810,16
TRK000048,Baroque Vibe 2233,Classical Artist 71,Classical Artist 71 Essentials,2023-06-14,2023,Classical,Baroque,95,0.437,0.536,0.708,0.462,0.118,0.179,0.322,90.43,-10.21,184081,7,1,4,0,376561,142
TRK000049,House Vibe 8847,EDM Artist 18,EDM Artist 18 Essentials,2014-09-24,2014,EDM,House,94,0.803,0.533,0.681,0.289,0.587,0.158,0.206,127.38,-4.47,127358,0,0,4,1,2270217,22
TRK000050,K-Pop Vibe 8442,K-Pop Artist 38,K-Pop Artist 38 Essentials,2008-10-01,2008,K-Pop,K-Pop,100,0.893,0.729,0.714,0.301,0.116,0.169,0.148,129.8,-5.62,388603,3,0,4,0,3364138,150
TRK000051,Smooth Jazz Vibe 6648,Jazz Artist 54,Jazz Artist 54 Essentials,2021-02-02,2021,Jazz,Smooth Jazz,85,0.56,0.446,0.464,0.324,0.302,0.25,0.191,89.89,-9.04,291121,9,1,4,0,6897767,10
TRK000052,House Vibe 7572,EDM Artist 85,EDM Artist 85 Essentials,2020-09-20,2020,EDM,House,98,0.67,0.674,0.347,0.536,0.524,0.06,0.282,118.38,-10.89,345906,11,1,4,1,2066881,68
TRK000053,Baroque Vibe 4019,Classical Artist 68,Classical Artist 68 Essentials,2012-11-07,2012,Classical,Baroque,79,0.352,0.21,0.554,0.445,0.281,0.114,0.151,94.32,-11.01,157400,6,0,4,0,1187471,64
TRK000054,Smooth Jazz Vibe 4270,Jazz Artist 100,Jazz Artist 100 Essentials,2017-01-10,2017,Jazz,Smooth Jazz,81,0.381,0.28,0.542,0.558,0.128,0.12,0.26,100.84,-6.31,108049,7,0,4,0,1610997,54
TRK000055,House Vibe 7561,EDM Artist 16,EDM Artist 16 Essentials,2002-07-03,2002,EDM,House,98,0.724,0.839,0.396,0.584,0.188,0.098,0.045,113.67,-9.31,207539,2,1,4,0,1995769,69
TRK000056,Smooth Jazz Vibe 1021,Jazz Artist 14,Jazz Artist 14 Essentials,2024-07-30,2024,Jazz,Smooth Jazz,89,0.679,0.559,0.23,0.345,0.097,0.61,0.095,115.06,-6.27,351783,5,1,4,0,111157,41
TRK000057,Smooth Jazz Vibe 2625,Jazz Artist 99,Jazz Artist 99 Essentials,2021-01-18,2021,Jazz,Smooth Jazz,80,0.362,0.543,0.456,0.898,0.14,0.223,0.397,96.95,-8.53,196774,3,0,4,0,182964,42
TRK000058,Conscious Rap Vibe 2796,Hip-Hop/Rap Artist 9,Hip-Hop/Rap Artist 9 Essentials,2017-07-30,2017,Hip-Hop/Rap,Conscious Rap,100,0.872,0.385,0.511,0.367,0.047,0.029,0.12,96.75,-5.61,187770,7,0,4,0,1021529,121
TRK000059,Country Pop Vibe 1234,Country Artist 58,Country Artist 58 Essentials,2007-10-19,2007,Country,Country Pop,87,0.432,0.358,0.552,0.239,0.033,0.072,0.208,94.5,-7.35,224540,9,0,4,0,1652691,132
TRK000060,Nu Jazz Vibe 6163,Jazz Artist 34,Jazz Artist 34 Essentials,2022-06-20,2022,Jazz,Nu Jazz,91,0.349,0.561,0.425,0.802,0.055,0.148,0.024,133.72,-11.79,205246,7,0,4,1,1889832,94
TRK000061,Smooth Jazz Vibe 8289,Jazz Artist 51,Jazz Artist 51 Essentials,2011-03-25,2011,Jazz,Smooth Jazz,75,0.471,0.406,0.476,0.901,0.321,0.079,0.313,102.97,-6.65,244154,7,0,4,0,432232,20
TRK000062,Country Pop Vibe 2827,Country Artist 28,Country Artist 28 Essentials,2009-08-04,2009,Country,Country Pop,84,0.537,0.446,0.575,0.447,0.048,0.153,0.344,119.2,-9.04,232067,1,0,4,0,936201,41
TRK000063,Contemporary R&B Vibe 9111,R&B/Soul Artist 18,R&B/Soul Artist 18 Essentials,2002-05-23,2002,R&B/Soul,Contemporary R&B,90,0.711,0.635,0.507,0.277,0.229,0.229,0.04,91.64,-6.67,368764,2,1,4,0,595948,35
TRK000064,Contemporary Country Vibe 6862,Country Artist 63,Country Artist 63 Essentials,2024-12-16,2024,Country,Contemporary Country,91,0.614,0.585,0.542,0.238,0.331,0.181,0.373,76.37,-7.39,119506,11,0,4,0,802627,21
TRK000065,Dubstep Vibe 6840,EDM Artist 66,EDM Artist 66 Essentials,2007-10-01,2007,EDM,Dubstep,89,0.71,0.623,0.667,0.322,0.224,0.244,0.083,116.19,-10.24,293089,3,0,4,1,1839613,13
TRK000066,K-HipHop Vibe 3309,K-Pop Artist 12,K-Pop Artist 12 Essentials,2011-01-20,2011,K-Pop,K-HipHop,100,0.82,0.68,0.517,0.267,0.207,0.225,0.013,121.89,-3.98,176139,6,0,4,0,620843,62
TRK000067,Reggaeton Vibe 1341,Latin Artist 3,Latin Artist 3 Essentials,2016-08-06,2016,Latin,Reggaeton,100,0.809,0.843,0.594,0.274,0.076,0.362,0.115,118.21,-11.35,257532,5,1,4,0,1212998,90
TRK000068,K-HipHop Vibe 9606,K-Pop Artist 9,K-Pop Artist 9 Essentials,2000-03-30,2000,K-Pop,K-HipHop,99,0.838,0.713,0.507,0.345,0.111,0.143,0.061,118.77,-7.86,250746,8,1,4,1,367988,97
TRK000069,Trap Vibe 6346,Hip-Hop/Rap Artist 6,Hip-Hop/Rap Artist 6 Essentials,2024-06-03,2024,Hip-Hop/Rap,Trap,100,0.817,0.708,0.654,0.289,0.021,0.376,0.481,77.25,-11.48,127813,1,0,4,1,1192192,100
TRK000070,Trance Vibe 1305,EDM Artist 87,EDM Artist 87 Essentials,2011-01-04,2011,EDM,Trance,100,0.825,0.858,0.587,0.216,0.413,0.212,0.174,126.91,-6.25,149358,2,1,4,0,2101035,211
TRK000071,Neo Soul Vibe 7041,R&B/Soul Artist 12,R&B/Soul Artist 12 Essentials,2007-01-19,2007,R&B/Soul,Neo Soul,93,0.651,0.622,0.632,0.374,0.008,0.066,0.342,86.28,-8.88,197029,2,1,4,0,1431987,46
TRK000072,Contemporary R&B Vibe 430,R&B/Soul Artist 10,R&B/Soul Artist 10 Essentials,2010-01-22,2010,R&B/Soul,Contemporary R&B,96,0.765,0.659,0.65,0.337,0.17,0.13,0.098,79.75,-7.91,240745,11,0,4,0,4018082,18
TRK000073,Contemporary R&B Vibe 7357,R&B/Soul Artist 11,R&B/Soul Artist 11 Essentials,2022-05-18,2022,R&B/Soul,Contemporary R&B,95,0.633,0.51,0.627,0.045,0.147,0.033,0.203,89.6,-8.29,205565,10,0,4,0,1305656,26
TRK000074,Romantic Vibe 6010,Classical Artist 59,Classical Artist 59 Essentials,2003-07-27,2003,Classical,Romantic,53,0.143,0.229,0.502,0.71,0.298,0.232,0.074,109.26,-9.36,193997,1,1,4,1,33776,7
TRK000075,Dance Pop Vibe 7938,Pop Artist 35,Pop Artist 35 Essentials,2024-11-26,2024,Pop,Dance Pop,100,0.756,0.871,0.732,0.429,0.156,0.078,0.118,108.54,-10.5,200689,8,1,4,0,890699,60
TRK000076,Romantic Vibe 6073,Classical Artist 21,Classical Artist 21 Essentials,2019-02-02,2019,Classical,Romantic,72,0.169,0.266,0.403,0.442,0.084,0.072,0.169,60.0,-10.29,113914,0,0,4,0,529407,26
TRK000077,Contemporary R&B Vibe 4585,R&B/Soul Artist 81,R&B/Soul Artist 81 Essentials,2023-04-08,2023,R&B/Soul,Contemporary R&B,98,0.651,0.676,0.517,0.31,0.212,0.095,0.211,82.85,-4.66,161797,2,0,4,0,2140201,32
TRK000078,Soul Vibe 7971,R&B/Soul Artist 87,R&B/Soul Artist 87 Essentials,2006-02-16,2006,R&B/Soul,Soul,91,0.764,0.575,0.569,0.54,0.221,0.042,0.172,87.9,-12.08,142123,3,1,4,0,413981,40
TRK000079,Trance Vibe 6605,EDM Artist 5,EDM Artist 5 Essentials,2019-07-08,2019,EDM,Trance,100,0.726,0.868,0.622,0.311,0.148,0.143,0.185,137.15,-6.53,153779,5,0,5,1,1388687,31
TRK000080,Electropop Vibe 6861,Pop Artist 32,Pop Artist 32 Essentials,2015-10-06,2015,Pop,Electropop,100,0.845,0.923,0.653,0.57,0.223,0.077,0.322,95.68,-8.95,192259,11,0,4,1,1687560,101
TRK000081,Contemporary Country Vibe 9243,Country Artist 70,Country Artist 70 Essentials,2016-11-21,2016,Country,Contemporary Country,100,0.474,0.693,0.764,0.392,0.35,0.073,0.072,108.17,-0.53,231477,10,1,4,0,1779988,153
TRK000082,K-R&B Vibe 6266,K-Pop Artist 44,K-Pop Artist 44 Essentials,2007-12-21,2007,K-Pop,K-R&B,100,0.699,0.813,0.971,0.635,0.029,0.107,0.227,118.14,-6.73,136833,4,0,5,0,863360,69
TRK000083,Classic Rock Vibe 7632,Rock Artist 45,Rock Artist 45 Essentials,2006-05-15,2006,Rock,Classic Rock,78,0.525,0.475,0.542,0.382,0.121,0.168,0.189,133.64,-7.26,160644,11,0,4,0,285580,18
TRK000084,Electropop Vibe 7766,Pop Artist 33,Pop Artist 33 Essentials,2021-04-04,2021,Pop,Electropop,97,0.616,0.713,0.463,0.086,0.007,0.075,0.143,114.74,-8.76,264598,0,0,4,0,139833,45
TRK000085,K-Pop Vibe 5987,K-Pop Artist 49,K-Pop Artist 49 Essentials,2015-01-11,2015,K-Pop,K-Pop,99,0.827,0.648,0.588,0.217,0.324,0.236,0.231,107.62,-8.76,229802,0,0,4,0,1184019,39
TRK000086,Nu Jazz Vibe 3876,Jazz Artist 6,Jazz Artist 6 Essentials,2019-01-24,2019,Jazz,Nu Jazz,73,0.22,0.266,0.517,0.801,0.807,0.086,0.119,111.67,-6.36,219057,4,0,4,0,320882,46
TRK000087,Contemporary Country Vibe 2528,Country Artist 34,Country Artist 34 Essentials,2012-09-10,2012,Country,Contemporary Country,86,0.643,0.395,0.559,0.181,0.145,0.331,0.583,100.86,-7.12,519522,2,1,4,0,886549,49
TRK000088,Bachata Vibe 726,Latin Artist 40,Latin Artist 40 Essentials,2014-09-17,2014,Latin,Bachata,100,1.0,0.803,0.635,0.083,0.04,0.087,0.048,108.55,-5.57,188452,8,1,4,0,700092,17
TRK000089,Indie Rock Vibe 8209,Rock Artist 11,Rock Artist 11 Essentials,2014-07-18,2014,Rock,Indie Rock,90,0.488,0.772,0.714,0.175,0.213,0.289,0.066,124.63,-9.81,329401,2,0,4,0,1921971,10
TRK000090,Country Pop Vibe 1672,Country Artist 100,Country Artist 100 Essentials,2022-08-12,2022,Country,Country Pop,94,0.46,0.575,0.696,0.289,0.044,0.187,0.302,110.23,-10.56,402274,8,0,4,0,392705,80
TRK000091,Electropop Vibe 7512,Pop Artist 76,Pop Artist 76 Essentials,2019-05-19,2019,Pop,Electropop,94,0.602,0.582,0.583,0.351,0.139,0.098,0.134,112.66,-4.34,157560,4,0,4,1,125304,63
TRK000092,Dance Pop Vibe 1383,Pop Artist 30,Pop Artist 30 Essentials,2016-04-08,2016,Pop,Dance Pop,99,0.616,0.735,0.67,0.116,0.103,0.153,0.14,106.69,-6.68,219010,0,1,4,1,3937330,30
TRK000093,Conscious Rap Vibe 6502,Hip-Hop/Rap Artist 92,Hip-Hop/Rap Artist 92 Essentials,2018-11-04,2018,Hip-Hop/Rap,Conscious Rap,92,0.598,0.606,0.518,0.338,0.069,0.321,0.365,103.04,-10.44,301710,8,0,4,0,1472940,40
TRK000094,Contemporary Classical Vibe 8202,Classical Artist 93,Classical Artist 93 Essentials,2003-08-21,2003,Classical,Contemporary Classical,60,0.192,0.079,0.689,0.563,0.283,0.211,0.051,73.47,-10.98,346437,5,1,4,0,81552,20
TRK000095,Baroque Vibe 2028,Classical Artist 92,Classical Artist 92 Essentials,2017-09-23,2017,Classical,Baroque,71,0.231,0.228,0.462,0.684,0.484,0.308,0.103,104.34,-4.04,265168,2,0,4,0,597528,36
TRK000096,Nu Jazz Vibe 3575,Jazz Artist 97,Jazz Artist 97 Essentials,2015-05-28,2015,Jazz,Nu Jazz,76,0.363,0.399,0.298,0.774,0.109,0.052,0.057,101.45,-12.11,199154,6,0,4,0,430954,25
TRK000097,Nu Jazz Vibe 6491,Jazz Artist 6,Jazz Artist 6 Essentials,2011-09-02,2011,Jazz,Nu Jazz,81,0.6,0.345,0.525,0.941,0.493,0.034,0.183,126.96,-6.18,181336,0,0,3,0,401612,47
TRK000098,Dubstep Vibe 415,EDM Artist 58,EDM Artist 58 Essentials,2011-01-24,2011,EDM,Dubstep,99,0.837,0.883,0.694,0.099,0.797,0.146,0.375,123.86,-3.16,324817,5,0,4,0,649315,21
TRK000099,Smooth Jazz Vibe 2827,Jazz Artist 88,Jazz Artist 88 Essentials,2012-11-22,2012,Jazz,Smooth Jazz,75,0.391,0.5,0.241,0.654,0.661,0.232,0.104,103.63,-8.58,245707,10,0,4,0,270409,27
TRK000100,Indie Rock Vibe 1332,Rock Artist 9,Rock Artist 9 Essentials,2017-09-13,2017,Rock,Indie Rock,100,0.724,0.73,0.436,0.235,0.165,0.075,0.067,136.65,-11.83,234134,4,0,4,0,2081640,163
TRK000101,Nu Jazz Vibe 268,Jazz Artist 61,Jazz Artist 61 Essentials,2006-09-18,2006,Jazz,Nu Jazz,79,0.396,0.54,0.534,0.774,0.371,0.044,0.299,128.78,-13.1,308574,1,0,4,0,621975,37
TRK000102,Contemporary R&B Vibe 7434,R&B/Soul Artist 27,R&B/Soul Artist 27 Essentials,2022-01-07,2022,R&B/Soul,Contemporary R&B,100,0.624,0.837,0.542,0.191,0.239,0.066,0.073,97.58,-11.61,153387,4,0,4,0,2869045,54
TRK000103,Classic Rock Vibe 3619,Rock Artist 49,Rock Artist 49 Essentials,2000-04-19,2000,Rock,Classic Rock,97,0.68,0.805,0.497,0.022,0.101,0.12,0.168,103.01,-8.65,221364,10,1,4,0,406727,86
TRK000104,Boom Bap Vibe 3494,Hip-Hop/Rap Artist 79,Hip-Hop/Rap Artist 79 Essentials,2023-05-20,2023,Hip-Hop/Rap,Boom Bap,83,0.663,0.393,0.533,0.455,0.343,0.077,0.364,95.15,-7.06,263407,10,1,4,0,458269,12
TRK000105,Alternative Rock Vibe 281,Rock Artist 84,Rock Artist 84 Essentials,2016-04-27,2016,Rock,Alternative Rock,99,0.421,0.895,0.54,0.366,0.187,0.096,0.092,114.73,-8.95,261789,9,0,4,0,2302768,66
TRK000106,Soul Vibe 1382,R&B/Soul Artist 8,R&B/Soul Artist 8 Essentials,2023-01-23,2023,R&B/Soul,Soul,100,0.637,0.71,0.523,0.12,0.255,0.565,0.141,85.79,-4.99,198354,9,0,3,0,2719864,88
TRK000107,Country Pop Vibe 8086,Country Artist 87,Country Artist 87 Essentials,2004-06-16,2004,Country,Country Pop,93,0.53,0.733,0.969,0.211,0.066,0.181,0.26,90.15,-6.19,174812,10,0,4,0,260800,53
TRK000108,Country Pop Vibe 7171,Country Artist 60,Country Artist 60 Essentials,2014-02-25,2014,Country,Country Pop,89,0.465,0.776,0.253,0.108,0.074,0.228,0.081,69.46,-7.58,221803,11,1,4,0,4316529,15
TRK000109,Conscious Rap Vibe 1227,Hip-Hop/Rap Artist 61,Hip-Hop/Rap Artist 61 Essentials,2016-11-03,2016,Hip-Hop/Rap,Conscious Rap,94,0.676,0.746,0.572,0.313,0.231,0.166,0.717,103.35,-9.21,159201,3,1,5,1,1530289,31
TRK000110,Dance Pop Vibe 5394,Pop Artist 58,Pop Artist 58 Essentials,2021-06-20,2021,Pop,Dance Pop,99,0.699,0.578,0.516,0.559,0.352,0.291,0.107,118.35,-9.41,183680,7,0,4,1,4524826,60
